"","TITULO","ABSTRACT","OWASP","CWE","URL"
"1"," ADF Faces Bad Practices: unsecure Attribute","  The <code>unsecure</code> attribute specifies a list of attributes whose values can be set on the client.",NA,NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/adf_faces_bad_practices_unsecure_attribute.html"
"2"," Castor Bad Practices: Query Mode Not Read-Only","  A Castor query that is not read-only can have performance implications.",NA,"265","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/castor_bad_practices_query_mode_not_read_only.html"
"3"," Castor Bad Practices: Unspecified Query Mode","  The Castor query does not explicitly define a query mode.",NA,"265","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/castor_bad_practices_unspecified_query_mode.html"
"4"," Code Correctness: Call to System.gc()","  Explicit requests for garbage collection are a bellwether indicating likely performance problems.",NA,"730","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_call_to_system_gc.html"
"5"," Code Correctness: Class Does Not Implement equals","  The <code>equals()</code> method is called on an object that does not implement <code>equals()</code>.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_class_does_not_implement_equals.html"
"6"," Code Correctness: Erroneous finalize() Method","  This <code>finalize()</code> method should call <code>super.finalize()</code>.",NA,"568","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_erroneous_finalize_method.html"
"7"," Code Correctness: Incorrect Serializable Method Signature","  Using the incorrect method signature on a method used in serialization may lead to it never being called.",NA,NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_incorrect_serializable_method_signature.html"
"8"," Code Correctness: Multiple Stream Commits","  After a servlet's output stream has already been committed, it is erroneous to reset the stream buffer or perform any other action that recommits to the stream. Likewise, it is erroneous to call <code>getWriter()</code> after calling <code>getOutputStream</code> or vice versa.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_multiple_stream_commits.html"
"9"," Code Correctness: Negative Content-Length","  <code>Content-Length</code> header is set as negative.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/api_abuse_code_correctness_negative_content_length.html"
"10"," Code Correctness: toString on Array","  <code>toString()</code> is called on an array.",NA,"398","http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/code_correctness_tostring_on_array.html"
"11"," Dangerous Field","  The field has been annotated as dangerous. All uses will be flagged.",NA,NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/dangerous_field.html"
"12"," Dangerous Method","  The method has been annotated as dangerous. All uses of this method will be flagged as issues.",NA,NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/dangerous_method.html"
"13"," Dangerous Type","  The variable is of a type which has been annotated as dangerous.",NA,NA,"http://www.hpenterprisesecurity.com/vulncat/en/vulncat/java/dangerous_class_variable.html"
